id,make,model_full,model_short,model_common,model_scheme,year,country,rarity,type,fuel_capacity
315,Chevrolet,Corvette ZR-1,Corvette '70,ZR-1,0,1970,USA,Epic,Classic Muscle,68
316,Lamborghini,Countach LP5000 QV,Lambo Countach,Countach,0,1988,Italy,,Retro Supercars,120
320,Honda,CR-X SiR,Honda CR-X,CR-X,0,1991,Japan,,Retro Hot Hatch,45
323,Lancia,Delta HF Integrale EVO,Lancia Delta,Delta,0,1992,Italy,Common,Retro Rally,57
324,Lamborghini,Diablo GTR,Diablo GTR,,0,1999,Italy,,Extreme Track Toys,100
325,Lamborghini,Diablo SV,Lambo Diablo SV,,0,1997,Italy,,Retro Supercars,100
326,Ferrari,Dino 246 GT,Ferrari Dino,Dino,0,1969,Italy,Epic,Rare Classics,65
327,Mitsubishi,Eclipse GSX,Eclipse GSX,Eclipse,0,1995,Japan,Common,Retro Sports Cars,60
333,Ferrari,Enzo Ferrari,Ferrari Enzo,Enzo,0,2002,Italy,Legendary,Retro Supercars,110
336,Jaguar,E-type,Jaguar E-type,,0,1961,UK,,Rare Classics,64
338,McLaren,F1 GT,McLaren F1 GT,,2,1997,UK,Legendary,Retro Supercars,90
340,Ferrari,F40,Ferrari F40,,0,1987,Italy,Legendary,Retro Supercars,120
342,Ferrari,F50,Ferrari F50,,0,1995,Italy,Legendary,Retro Supercars,105
343,Nissan,Fairlady Z 432,Fairlady Z '69,Fairlady Z,0,1969,Japan,Epic,Classic Sports Cars,60
344,Nissan,Fairlady Z,Fairlady Z '03,Fairlady Z,0,2003,Japan,Common,Retro Sports Cars,80
345,Nissan,Fairlady Z Version S Twin Turbo,Fairlady Z '94,Fairlady Z,0,1994,Japan,Epic,Retro Sports Cars,72
348,Ford,GT,Ford GT '05,,2,2005,USA,Epic,Unlimited Offroad,66
353,Volkswagen,Golf GTI 16v Mk2,VW GTI Mk2 '92,Golf GTI,1,1992,Germany,Common,Retro Hot Hatch,55
357,Mitsubishi,GTO,Mitsubishi GTO,,0,1997,Japan,Common,Retro Sports Cars,75
358,Ferrari,288 GTO,Ferrari 288 GTO,GTO,2,1984,Italy,,Retro Supercars,120
363,Subaru,Impreza 22B-STi Version,SUBARU 22B '98,Impreza 22B,0,1998,Japan,Legendary,Retro Rally,60
364,Subaru,IMPREZA WRX STI,SUBARU WRX '04,Impreza WRX,0,2004,Japan,Common,Modern Rally,60
365,Subaru,IMPREZA WRX STI,SUBARU WRX '05,Impreza WRX,0,2005,Japan,Common,Modern Rally,60
368,Acura,Integra Type R,Acura Integra,,0,2001,USA,Common,Retro Hot Hatch,50
374,Mitsubishi,Lancer Evolution IX MR,Lancer MR '06,Evo IX,0,2006,Japan,Epic,Modern Rally,55
378,Mitsubishi,Lancer Evolution VIII MR,Lancer MR '04,Evo VIII,0,2004,Japan,Rare,Modern Rally,55
379,Subaru,LEGACY B4 2.0 GT,SUBARU LEGACY,Legacy,2,2005,Japan,Common,Retro Super Saloons,64
382,BMW,M3,BMW M3 '97,,0,1997,Germany,Rare,Retro Super Saloons,62
383,BMW,M3,BMW M3 '05,,0,2005,Germany,Rare,Retro Super Saloons,63
391,Maserati,MC12,Maserati MC12,,2,2004,Italy,,Retro Supercars,115
398,Toyota,MR2 GT,Toyota MR2 '95,,0,1995,Japan,Rare,Retro Sports Cars,55
405,Ford,Mustang SVT Cobra R,Ford Mustang '00,,1,2000,USA,Common,Retro Muscle,59
411,Honda,NSX-R,Honda NSX-R '05,,0,2005,Japan,Epic,Retro Sports Cars,70
412,Honda,NSX-R,Honda NSX-R '92,,0,1992,Japan,Epic,Retro Sports Cars,70
417,Buick,Regal GNX,Buick Regal GNX,,2,1987,USA,Epic,Retro Muscle,64
419,Audi,RS 4,Audi RS 4 '06,,0,2006,Germany,Rare,Modern Super Saloons,63
420,Audi,RS 6,Audi RS 6 '03,,0,2003,Germany,Rare,Retro Super Saloons,82
422,Acura,RSX Type S,Acura RSX,,0,2002,USA,Common,Retro Hot Hatch,50
423,Mazda,Savanna RX-7,Mazda RX-7 '90,,0,1990,Japan,Epic,Retro Sports Cars,70
427,Honda,S2000,Honda S2000,,0,2004,Japan,Epic,Extreme Track Toys,50
433,TVR,Sagaris,TVR Sagaris,,2,2005,UK,Rare,Retro Sports Cars,65
440,Nissan,Silvia K's,Silvia '94,,0,1994,Japan,Common,Retro Sports Cars,65
455,Toyota,Sprinter Trueno GT Apex,Toyota Trueno,Sprinter Trueno,0,1985,Japan,Epic,Retro Sports Cars,50
458,Lancia,Stratos HF Stradale,Lancia Stratos,Stratos,2,1974,Italy,Treasure Car,Classic Rally,80
460,Toyota,Supra 2.0 GT,Toyota Supra '92,Supra,0,1992,Japan,Rare,Retro Sports Cars,70
461,Toyota,Supra RZ,Toyota Supra '98,,0,1998,Japan,Rare,Retro Sports Cars,70
483,Dodge,Viper GTS ACR,Dodge Viper '99,Viper ACR,0,1999,USA,,Track Toys,72
489,Jaguar,XJ220,Jaguar XJ220,,2,1993,UK,Legendary,Retro Supercars,90
513,Dodge,Charger R/T,Dodge Charger 69,,0,1969,USA,Treasure Car,Classic Muscle,72
567,Nissan,R390 (GT1),Nissan R390,R390,2,1998,Japan,,Retro Supercars,101
568,Mercedes,AMG CLK GTR,M-B CLK-GTR,CLK GTR,0,1998,Germany,,Retro Supercars,90
569,Honda,NSX-R GT,Honda NSX-R GT,,1,1992,Japan,Epic,Retro Sports Cars,70
615,Peugeot,207 Super 2000,Peugeot 207 S,,0,2007,France,,Rally Monsters,80
625,Honda,Civic Type R,Honda Civic '07,,0,2007,Japan,Common,Retro Hot Hatch,50
633,Audi,Sport quattro,Audi quattro,,0,1984,Germany,Legendary,Rally Monsters,90
634,Renault,5 Turbo,Renault 5 Turbo,,2,1980,France,Rare,Retro Rally,93
637,Lamborghini,Miura P400,Lambo Miura,Miura,0,1967,Italy,Legendary,Rare Classics,90
639,Dodge,Challenger R/T,Challenger '70,,0,1970,USA,,Classic Muscle,68
641,Porsche,911 GT1 Strassenversion,Porsche 911 GT1,911 GT1,0,1997,Germany,Legendary,Retro Supercars,100
1006,Ferrari,FXX,Ferrari FXX,,0,2005,Italy,Legendary,Extreme Track Toys,112
1007,Koenigsegg,CCGT,Koenigsegg CCGT,,2,2008,Sweden,Legendary,Extreme Track Toys,100
1009,Mitsubishi,Lancer Evolution X GSR,Lancer GSR '08,Evo X,0,2008,Japan,Rare,Modern Rally,55
1011,BMW,M3,BMW M3 '08,,0,2008,Germany,Rare,Retro Super Saloons,63
1020,Ferrari,F50 GT,Ferrari F50 GT,,0,1995,Italy,Legendary,Retro Supercars,100
1022,Ferrari,430 Scuderia,Ferrari 430 S,,0,2007,Italy,Epic,Modern Supercars,95
1023,Ferrari,F40 Competizione,Ferrari F40 C,,0,1989,Italy,Legendary,Retro Racers,120
1032,Alfa Romeo,8C Competizione,Alfa Romeo 8C,,0,2007,Italy,Epic,GT Cars,90
1034,Toyota,Celica GT-Four ST205,Toyota Celica'94,Celica GT-Four,1,1994,Japan,Common,Retro Rally,60
1040,BMW,M1,BMW M1,,0,1981,Germany,Treasure Car,Retro Supercars,116
1041,Ford,Mustang SVT Cobra R,Ford Mustang '93,,1,1993,USA,Common,Retro Muscle,58
1042,Nissan,Skyline 2000GT-R,Nissan GT-R '71,,1,1971,Japan,Barn Find,Classic Sports Cars,100
1045,Pontiac,Firebird Trans Am GTA,Pontiac T/A '87,Trans-Am,0,1987,USA,Common,Retro Muscle,59
1046,Dodge,Viper SRT-10 ACR,Dodge Viper '08,Viper ACR,0,2008,USA,Rare,Track Toys,70
1052,Dodge,Ram SRT-10,Dodge Ram SRT-10,,0,2006,USA,,Modern Muscle,98
1059,BMW,Z4 M Coupé,BMW Z4 '08,,0,2008,Germany,Rare,Modern Sports Cars,55
1060,Subaru,IMPREZA WRX STI,SUBARU WRX '08,,1,2008,Japan,Common,Modern Rally,64
1063,Dodge,Charger Daytona HEMI,Charger Daytona,Charger Daytona,0,1969,USA,Epic,Classic Muscle,72
1064,Chevrolet,Camaro Z28,Chevy Camaro '79,,0,1979,USA,Rare,Classic Muscle,80
1069,Chevrolet,Corvette ZR1,Corvette '09,,0,2009,USA,Legendary,Classic Sports Cars,68
1086,Ford,Focus RS,Ford Focus '09,,0,2009,USA,Rare,Rally Monsters,51
1090,Mercedes,SL 65 AMG Black Series,M-B SL65,,0,2009,Germany,Epic,Super GT,80
1093,Chevrolet,Corvette,Corvette '60,,1,1960,USA,Legendary,Classic Sports Cars,62
1103,Nissan,370Z,Nissan 370Z,,0,2010,Japan,,Modern Sports Cars,72
1104,Datsun,510,Datsun 510,,2,1970,Japan,Common,Classic Sports Cars,46
1105,Aston Martin,DB5,AM DB5,,0,1964,UK,Epic,Rare Classics,86
1108,Ford,RS200 Evolution,Ford RS200,RS200,0,1985,USA,Epic,Rally Monsters,116
1110,Mazda,MX-5 Miata,Mazda MX-5 '94,Miata,0,1994,Japan,Common,Retro Sports Cars,48
1124,Fiat,131,Abarth 131,,2,1980,Italy,Common,Classic Rally,50
1126,BMW,M5,BMW M5 '09,,0,2009,Germany,Rare,Retro Super Saloons,70
1130,McLaren,12C Coupé,McLaren 12C,,2,2011,UK,Epic,Modern Supercars,72
1131,Ferrari,458 Italia,Ferrari 458,Italia,2,2009,Italy,Epic,Modern Supercars,86
1150,Alfa Romeo,Giulia Sprint GTA Stradale,Alfa Romeo GTA,Giulia GTA,0,1965,Italy,Rare,Rare Classics,46
1155,Shelby,Cobra Daytona Coupé,Shelby Daytona,,0,1965,USA,Legendary,Classic Racers,132
1171,Ferrari,599XX,Ferrari 599XX,,0,2010,Italy,Legendary,Extreme Track Toys,90
1173,Lamborghini,Murciélago LP 670-4 SV,Lambo Murciélago,Murciélago SV,0,2010,Italy,Epic,Modern Supercars,100
1175,Pagani,Zonda R,Pagani Zonda R,,0,2009,Italy,Legendary,Extreme Track Toys,100
1184,Audi,RS 6,Audi RS 6 '09,,0,2009,Germany,Rare,Retro Super Saloons,80
1200,Audi,R8 LMS,Audi R8 LMS,,0,2009,Germany,Rare,Extreme Track Toys,120
1204,Renault,Mégane RS 250,Mégane RS 250,,0,2010,France,Rare,Hot Hatch,60
1215,,NULL CAR,NULL CAR,,0,,,,,
1216,Audi,RS 3 Sportback,Audi RS 3,RS 3,0,2011,Germany,Common,Super Hot Hatch,60
1220,Audi,TT RS Coupé,Audi TT RS,TT RS,0,2010,Germany,Rare,Modern Sports Cars,60
1221,Mazda,Mazdaspeed 3,Mazda 3,,1,2010,Japan,Common,Hot Hatch,60
1229,Mazda,Furai,Mazda Furai,,0,2008,Japan,,Extreme Track Toys,100
1231,Volkswagen,Golf R,VW Golf R '10,,0,2010,Germany,Rare,Super Hot Hatch,55
1253,Noble,M600,Noble M600,,2,2010,UK,Epic,Modern Supercars,68
1260,Lexus,LFA,Lexus LFA,,0,2010,USA,Epic,Modern Supercars,73
1269,BMW,2002 Turbo,BMW 2002 Turbo,,2,1973,Germany,Legendary,Classic Sports Cars,70
1270,DeLorean,DMC-12,DeLorean DMC-12,DeLorean,1,1982,USA,Legendary,Retro Sports Cars,52
1272,Ford,Escort RS Cosworth,Ford Escort '92,Escort Cosworth,0,1992,USA,Rare,Retro Rally,55
1273,Honda,Civic Type R,Honda Civic '97,,0,1997,Japan,Common,Retro Hot Hatch,45
1276,Pontiac,Firebird Trans Am,Pontiac T/A '77,Trans Am,0,1977,USA,Rare,Classic Muscle,80
1277,Plymouth,Cuda 426 HEMI,Plymouth Cuda,Cuda,0,1971,USA,Epic,Classic Muscle,68
1278,Ford,XB Falcon GT,Ford XB Falcon,Falcon,0,1973,USA,Rare,Classic Muscle,80
1282,Nissan,240SX,Nissan 240SX '93,,0,1993,Japan,,Retro Sports Cars,60
1291,Chevrolet,El Camino Super Sport 454,Chevy El Camino,El Camino,1,1970,USA,Rare,Utility Heroes,76
1293,Ford,Sierra Cosworth RS500,Ford RS500,Sierra Cosworth,1,1987,USA,,Retro Super Saloons,60
1294,GMC,Syclone,GMC Syclone,,0,1991,USA,Epic,Pickups & 4x4s,76
1296,Mercedes,190 E 2.5-16 Evolution II,MB 190 E '90,190E Evo,0,1990,Germany,Epic,Retro Super Saloons,70
1299,Volvo,242 Turbo Evolution,Volvo 242 Turbo,242 Turbo,2,1983,Sweden,Common,Classic Rally,60
1300,Chevrolet,Impala Super Sport 409,Chevy Impala,Impala,0,1964,USA,Common,Rods and Customs,76
1301,Jaguar,D-Type,Jaguar D-Type,,2,1956,UK,Legendary,Classic Racers,168
1314,McLaren,F1,McLaren F1,,2,1993,UK,Legendary,Retro Supercars,90
1323,Subaru,WRX STI,SUBARU WRX '11,,2,2011,Japan,Common,Modern Rally,60
1330,Chevrolet,Camaro Z28,Chevy Camaro '70,,0,1970,USA,Rare,Classic Muscle,68
1332,Dodge,Dart HEMI Super Stock,Dodge Dart '68,Dart HEMI,2,1968,USA,Legendary,Classic Muscle,68
1335,Mazda,#55 Mazda 787B,#55 Mazda 787B,787B,0,1991,Japan,,Retro Racers,100
1350,BMW,X5 M,BMW X5 M,,0,2011,Germany,Common,Sports Utility Heroes,85
1352,Dodge,Coronet Super Bee,Dodge Super Bee,,0,1970,USA,Rare,Classic Muscle,72
1355,Ford,Mustang GT Coupé,Ford Mustang '65,Mustang,1,1969,USA,Rare,Classic Muscle,61
1367,BMW,M5,BMW M5 '03,,0,2003,Germany,Rare,Retro Super Saloons,70
1368,BMW,M5,BMW M5 '88,,0,1988,Germany,Rare,Retro Super Saloons,70
1369,Pagani,Zonda Cinque Roadster,Pagani Zonda C,Zonda,0,2010,Italy,Legendary,Hypercars,85
1376,Lotus,Elise Series 1 Sport 190,Lotus Elise '99,Elise,0,1999,UK,Common,Retro Sports Cars,36
1379,Chevrolet,Impala Super Sport,Chevy Impala '96,Impala,0,1996,USA,Common,Retro Muscle,87
1381,Mitsubishi,Galant VR-4,Galant VR-4,,0,1992,Japan,Rare,Retro Rally,60
1382,Subaru,LEGACY RS,SUBARU LEGACY RS,Legacy,2,1990,Japan,Common,Retro Super Saloons,60
1388,BMW,M5,BMW M5 '12,,0,2012,Germany,Rare,Retro Super Saloons,80
1392,Lamborghini,Sesto Elemento,Lambo Sesto,,0,2011,Italy,,Extreme Track Toys,100
1393,Alfa Romeo,155 Q4,Alfa Romeo 155,,2,1992,Italy,Epic,Retro Super Saloons,60
1394,GMC,Typhoon,GMC Typhoon,,0,1992,USA,Epic,Sports Utility Heroes,76
1395,Toyota,MR2 SC,Toyota MR2 '89,,0,1989,Japan,Epic,Retro Sports Cars,54
1397,Koenigsegg,Agera,Koenigsegg Agera,,0,2011,Sweden,Legendary,Hypercars,80
1398,Lamborghini,Aventador LP700-4,Aventador '12,Aventador,0,2012,Italy,,Hypercars,90
1417,Audi,RS 5 Coupé,Audi RS 5,RS5,0,2011,Germany,,Modern Supercars,64
1418,BMW,M5,BMW M5 '95,,0,1995,Germany,Rare,Retro Super Saloons,90
1426,Mazda,RX-8 R3,Mazda RX-8,RX-8,0,2011,Japan,Rare,Modern Sports Cars,65
1428,Volkswagen,Scirocco R,VW Scirocco '11,Scirocco,0,2011,Germany,Rare,Hot Hatch,55
1429,Chevrolet,Nova Super Sport 396,Chevy Nova '69,Nova,0,1969,USA,Common,Classic Muscle,68
1435,Volkswagen,Beetle,VW Beetle,,0,1963,Germany,Epic,Rally Monsters,40
1459,Chevrolet,Bel Air,Chevy Bel Air,,0,1957,USA,Rare,Rods and Customs,60
1477,Ford,Transit SuperSportVan,Ford Transit SSV,Transit,0,2011,USA,Rare,Utility Heroes,103
1478,Audi,#2 Audi Sport quattro S1,#2 Audi S1,Sport quattro,0,1986,Germany,Legendary,Rally Monsters,90
1480,Mazda,RX-7 GSL-SE,Mazda RX-7 '85,RX-7,0,1985,Japan,Treasure Car,Retro Sports Cars,55
1481,Austin-Healey,3000 MKIII,3000 MKIII,,2,1965,UK,Common,Classic Sports Cars,55
1493,BMW,850CSi,BMW 850CSi,850,2,1995,Germany,Rare,Retro Sports Cars,90
1500,Mercedes,C 63 AMG Coupé Black Series,M-B C63,C 63 Black,0,2012,Germany,Epic,Modern Super Saloons,66
1513,Maserati,Ghibli Cup,Mas. Ghibli '97,Ghibli,0,1997,Italy,Rare,Retro Sports Cars,80
1514,Mazda,RX-3,Mazda RX-3,,0,1973,Japan,Common,Classic Sports Cars,60
1517,Toyota,Celica GT-Four RC ST185,Toyota Celica '92,Celica GT-Four,1,1992,Japan,Rare,Retro Rally,68
1522,Jeep,Wrangler Rubicon,Jeep Wrangler,Wrangler,0,2012,USA,Common,Pickups & 4x4s,70
1529,Ford,Capri RS3100,Ford Capri MkI,Capri,0,1973,USA,Rare,Classic Sports Cars,58
1532,Hennessey,Venom GT,Venom GT,,0,2012,USA,,Hypercars,70
1533,Holden,Torana A9X,Holden Torana,,0,1977,Australia,Rare,Classic Muscle,55
1537,Toyota,Corolla SR5,Toyota Corolla,,0,1974,Japan,,Classic Sports Cars,50
1549,Alfa Romeo,33 Stradale,Alfa Romeo 33S,,2,1968,Italy,Legendary,Classic Racers,100
1559,Mercedes,300 SLR,M-B 300 SLR,,0,1955,Germany,Legendary,Classic Racers,265
1562,Dodge,Viper GTS,SRT Viper '13,Viper,0,2013,USA,Rare,Track Toys,70
1564,Chevrolet,Corvette,Corvette '53,,0,1953,USA,Legendary,Classic Sports Cars,67
1568,Honda,Civic RS,Honda Civic '74,,0,1974,Japan,Epic,Extreme Track Toys,39
1575,Chevrolet,Monte Carlo Super Sport,Chevy Monte Carlo,Monte Carlo,0,1988,USA,Common,Retro Muscle,60
1578,Ferrari,250 GT Berlinetta Lusso,Ferrari 250 GT,250 GT,0,1962,Italy,Legendary,Rare Classics,114
1586,Lincoln,Continental,Continental '62,,2,1962,USA,,Rods and Customs,80
1587,Mazda,Cosmo 110S Series II,Mazda Cosmo,Cosmo,0,1972,Japan,,Classic Sports Cars,57
1591,Peugeot,205 Turbo 16,Peugeot 205 T16,,0,1984,France,Barn Find,Retro Rally,110
1598,BMW,M3 GTS,BMW E92 M3 GTS,,0,2010,Germany,Rare,Retro Super Saloons,63
1599,Ferrari,599XX Evolution,Ferrari 599XX E,,0,2012,Italy,,Extreme Track Toys,90
1601,Lamborghini,Gallardo LP570-4 Spyder Performante,Gallardo Spyder,Gallardo Spyder,0,2012,Italy,Epic,Modern Supercars,90
1607,Audi,RS 4 Avant,Audi RS 4 '13,RS 4,0,2013,Germany,Common,Retro Super Saloons,61
1627,Mercedes,G 65 AMG,M-B G 65,,0,2013,Germany,Rare,Pickups & 4x4s,96
1650,Honda,Civic Si,Honda Civic '86,,0,1986,Japan,Epic,Extreme Track Toys,45
1651,Ariel,Atom 500 V8,Ariel Atom,Atom,0,2013,UK,Epic,Extreme Track Toys,42
1654,Ford,Mustang Shelby GT500,Ford Mustang '13,GT500,1,2013,USA,Rare,Modern Muscle,61
1655,Subaru,BRZ,SUBARU BRZ,,0,2013,Japan,Common,Modern Sports Cars,50
1658,Mercedes,A 45 AMG,M-B A45,,0,2013,Germany,Rare,Super Hot Hatch,56
1661,Lancia,Delta S4,Lancia Delta S4,Delta,2,1986,Italy,Rare,Retro Rally,74
1662,Mini,Cooper S,MINI '65,,2,1965,UK,Rare,Classic Rally,50
1667,McLaren,P1,McLaren P1,,2,2013,UK,Legendary,Hypercars,72
1668,Ford,Mustang Boss 302,Ford Mustang '69,Mustang 302,1,1969,USA,Rare,Classic Muscle,76
2002,Nissan,GT-R Black Edition (R35),Nissan GT-R '12,GT-R Black Edition,1,2012,Japan,Rare,Modern Supercars,74
2003,Mini,John Cooper Works GP,MINI JCW '12,JCW GP,2,2012,UK,Rare,Hot Hatch,50
2004,Mazda,MX-5,Mazda MX-5 '13,,0,2013,Japan,Common,Retro Sports Cars,50
2006,Chevrolet,Corvette ZR-1,Corvette '95,,0,1995,USA,Epic,Classic Muscle,67
2007,Toyota,86,Toyota 86,,2,2013,Japan,Rare,Modern Sports Cars,50
2009,Audi,RS 7 Sportback,Audi RS 7,,0,2013,Germany,Epic,Modern Super Saloons,75
2010,Audi,R8 Coupé V10 Plus 5.2 FSI quattro,Audi R8 '13,R8 V10 Plus,0,2013,Germany,,Modern Supercars,75
2017,Abarth,595 Esseesse,Abarth 595 '68,,2,1968,Italy,Common,Cult Cars,25
2019,Ford,Focus RS,Ford Focus '03,,0,2003,USA,Rare,Rally Monsters,50
2034,Ferrari,LaFerrari,LaFerrari,,1,2013,Italy,Legendary,Hypercars,85
2038,Alfa Romeo,4C,Alfa Romeo 4C,,2,2014,Italy,Epic,Modern Sports Cars,40
2040,BAC,Mono,BAC Mono,,2,2014,UK,Epic,Track Toys,35
2042,Lamborghini,Veneno,Lambo Veneno,,0,2013,Italy,Legendary,Hypercars,90
2119,Honda,Civic CRX Mugen,Honda Civic '84,,0,1984,Japan,,Retro Sports Cars,45
2121,Honda,Prelude Si,Honda Prelude 94,Prelude,0,1994,Japan,Common,Retro Hot Hatch,60
2128,Cadillac,XTS Limousine,Caddy Limo,Limo,2,2013,USA,Rare,Modern Super Saloons,76
2131,HSV,GEN-F GTS,HSV GEN-F GTS,,2,2014,Australia,Rare,Modern Muscle,71
2133,BMW,i8,BMW i8,,2,2015,Germany,Rare,Modern Sports Cars,42
2140,Subaru,BRAT GL,SUBARU BRAT,Brat,2,1980,Japan,Common,Utility Heroes,60
2142,Volkswagen,Golf R,VW Golf R '14,,0,2014,Germany,Rare,Super Hot Hatch,55
2145,Ford,Ranger T6 Rally Raid,Ford Ranger T6,Ranger,2,2014,USA,,Offroad,450
2147,MG,Metro 6R4,MG Metro 6R4,Metro,2,1986,UK,Legendary,Rally Monsters,104
2148,Mini,X-Raid All4 Racing Countryman,MINI X-Raid,X-Raid,2,2013,UK,Epic,Offroad,385
2149,Renault,Clio Williams,Renault Clio '93,,0,1993,France,Common,Retro Hot Hatch,50
2151,Volkswagen,Type 2 De Luxe,VW Type 2,Samba bus,2,1963,Germany,Rare,Cult Cars,40
2154,BMW,M4 Coupé,BMW M4 '14,M4,0,2014,Germany,Rare,Modern Super Saloons,60
2161,Alfa Romeo,Giulia TZ2,Alfa Romeo TZ2,,0,1965,Italy,,Classic Racers,100
2163,Honda,Civic Type R,Honda Civic '16,,0,2016,Japan,Common,Retro Hot Hatch,47
2164,Lamborghini,Huracán LP 610-4,Lambo Huracán,Huracán,0,2014,Italy,Epic,Modern Supercars,83
2168,Subaru,WRX STI,SUBARU WRX '15,,0,2015,Japan,Common,Modern Rally,60
2171,Mazda,Mazdaspeed MX-5,Mazda MX-5 '05,,1,2005,Japan,Common,Retro Sports Cars,50
2175,Lexus,RC F,Lexus RC F,,2,2015,USA,Rare,Modern Super Saloons,66
2177,Chevrolet,Corvette Z06,Corvette '15,,0,2015,USA,Legendary,Classic Sports Cars,70
2178,Audi,RS 4 Avant,Audi RS 4 '01,RS 4,0,2001,Germany,Common,Retro Super Saloons,62
2179,Audi,S1,Audi S1,,2,2015,Germany,Legendary,Rally Monsters,45
2180,Audi,RS 6 Avant,Audi RS 6 '15,RS 6,0,2015,Germany,Rare,Modern Super Saloons,75
2183,Chevrolet,Camaro Z/28,Chevy Camaro '15,Camaro,0,2015,USA,Rare,Track Toys,72
2184,Ferrari,458 Speciale,Ferrari 458 S,,0,2013,Italy,Epic,Track Toys,86
2188,Koenigsegg,One:1,Koenigsegg One,,2,2015,Sweden,,Hypercars,74
2205,Honda,S800,Honda S800,,2,1970,Japan,Common,Cult Cars,35
2216,Plymouth,Fury,Plymouth Fury,,0,1958,USA,Rare,Rods and Customs,76
2217,Subaru,SVX,SUBARU SVX,,0,1996,Japan,Common,Retro Sports Cars,70
2242,Mercedes,GT S,M-B AMG GT,,0,2015,Germany,Rare,Super GT,75
2262,Cadillac,ATS-V,Caddy ATS-V,,2,2016,USA,Common,Modern Muscle,61
2263,Dodge,Challenger SRT Hellcat,Challenger '15,Hellcat,0,2015,USA,Rare,Modern Muscle,70
2267,Mazda,MX-5,Mazda MX-5 '16,,0,2016,Japan,Common,Retro Sports Cars,45
2270,Nissan,Skyline H/T 2000GT-R,Nissan GT-R '73,Skyline,2,1973,Japan,,Classic Sports Cars,55
2272,Datsun,2000 Roadster,Datsun 2000,,2,1969,Japan,,Classic Sports Cars,36
2290,Porsche,918 Spyder,Porsche 918,,0,2014,Germany,Legendary,Hypercars,70
2297,Porsche,911 GT3 RS 4.0,911 GT3 RS4 '12,911 GT3 RS,0,2012,Germany,Epic,Track Toys,90
2357,Ford,Focus RS,Ford Focus '17,,0,2017,USA,Rare,Rally Monsters,47
2363,Ford,GT,Ford GT '17,,2,2017,USA,Epic,Unlimited Offroad,58
2371,Ferrari,FXX K,Ferrari FXX K,,0,2014,Italy,Legendary,Extreme Track Toys,85
2372,Ford,De Luxe Five-Window Coupé,Ford Coupé '32,De Luxe,2,1932,USA,Common,Rods and Customs,53
2400,Ford,Mustang Shelby GT350R,Ford GT350R '16,,1,2016,USA,Rare,Track Toys,61
2412,BMW,Isetta 300 Export,BMW Isetta,Isetta,2,1957,Germany,Common,Cult Cars,13
2416,Meyers,Manx,Meyers Manx,,2,1971,USA,Epic,Buggies,20
2420,Opel,Manta 400,Opel Manta 400,Manta,2,1984,Germany,Rare,Rally Monsters,50
2421,Cadillac,CTS-V Sedan,Caddy CTS-V '16,CTS-V,0,2016,USA,Common,Modern Muscle,72
2422,HSV,Limited Edition Gen-F GTS Maloo,HSV Maloo '14,Maloo,2,2014,Australia,Common,Utility Heroes,71
